chq,faq,value
"Swelling in the body.  Non-specific swelling, for example in the hands, not necessarily dependent edema.  You do a workup and there's no proteinuria and no kidney problem.  Is it even worthwhile working it up?",What is the approach to nonspecific generalized edema?,1
"We see a lot of people with depression. Many of them see psychiatrists. They put the patient on lithium. They may fail to check a lithium level. As a primary care provider, how often do you check the lithium level?",How often should lithium levels be checked?,1
"44 year-old woman.  She has four siblings with adenomatous polyps.  She was screened with a colonoscopy 3 years ago and does not have any.  ""When does she need her next colonoscopy?""",Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?,0
What is the initial treatment for community acquired pneumonia in the adult?,I wonder if this patient could have a rotator cuff thing?,0
What is the generic name of Protonix?,What is the generic name of Protonix?,1
What are the possible causes of an acute inflammatory scrotal mass?,How do you use Redux? What are the indications?,0
What are Michaelis-Menton kinetics? May explain why small increases in Dilantin dose cause large increase in level.,What are Michaelis-Menton kinetics?,1
A woman with fibrocystic breast disease.  Why do I have to wait to get the mammogram before I send her to have the lump needled (aspirated)?,Why do I have to get the mammogram before I send her to needle the breast mass?,1
"We have this home for ""problem children."" One of the kids bit one of the employees. I called one of the infectious disease nurses at the hospital here to see what their protocol is for human immunodeficiency virus, hepatitis B, hepatitis C.",What is the treatment for a human bite?,1
9-year-old with attention deficit disorder. On 18 milligrams of Concerta and 5 milligrams of Ritalin in the morning and at noon. I always thought you just give Concerta once a day. Why was it that he needed the extra Ritalin?,Is it possible to give Ritalin with Concerta?,1
How long should you leave a patient on Coumadin AND heparin? Can I stop the heparin as soon as the protime is therapeutic?,How long to leave patient on Coumadin AND heparin? Stop heparin when protime okay?,1
Does her bulging fontanelle relate to her congestive heart failure? Would you do something more about the bulging fontanelle like an ultrasound or head computerized tomography (CT)?,Does her bulging fontanelle relate to her congestive heart failure? Would you do ultrasound or head computerized tomography (CT)?,1
Do nonsteroidal anti-inflammatory drugs (NSAID's) cause hypertension?  How commonly?,How do you inject the bicipital tendon?,0
Patient has had a pacemaker for 5 years. Seen for preoperative physical (cataracts). Electrocardiogram showed atrial fibrillation. Should I put her on Coumadin?,"Pacemaker for 5 years, preoperative physical (cataracts), electrocardiogram shows atrial fibrillation. Should I put her on Coumadin?",1
"We have this home for ""problem children.""  One of the kids bit one of the employees.  I called one of the infectious disease nurses at the hospital here to see what their protocol is for human immunodeficiency virus, hepatitis B, hepatitis C.",What is the treatment for a human bite?,1
Diabetic with orthostatic hypotension.  Secondary to autonomic neuropathy?  Was hypertensive but I've been gradually decreasing hypertensive medications.  When do you start Florinef and how do you start it and how do you monitor it?,Can testes not being in the scrotum come from just being tense?,0
What should I know about infantile spasms?,What should I know about infantile spasms?,1
Are there any new treatments for COPD (chronic obstructive pulmonary disease) exacerbation? What is the role of theophylline? Pulmocare?,What size pills does digoxin come in?,0
Can diabetic neuropathy present as flank radicular pain?  Would capsaicin help?,"Patient, plate in hip, no murmur, needs subacute bacterial endocarditis prophylaxis before sees dentist?",0
"31-year-old woman is breast feeding, complains of being tired and has a stomatitis with aphthous ulcers in her mouth.  The question is whether tetracycline crosses into the breast milk.",Is tetracycline safe to give to a breast feeding mother?,1
72-year-old female with abdominal pain. What are the signs and symptoms of mesenteric artery occlusion and how do you test for it?,What are the signs and symptoms of mesenteric artery occlusion?,1
"If just one of three stools is positive for occult blood, do you need to do a colonoscopy?",At what ages should you do a Denver Developmental Screening Test?,0
Why do people get nephrotic syndrome?  What causes it?,Why do people get nephrotic syndrome?,1
What should you do with a bigeminal or trigeminal uterine contraction pattern?,What should you do with a bigeminal or trigeminal uterine contraction pattern?,1
What are the New York Heart Association classes I - IV? Where is an explanation of these?,What antibiotic should I use for this diabetic patient's infected foot ulcer?,0
What is the differential diagnosis for lymphocytosis in a new liver transplant patient?,How should I treat polymenorrhea in a 14-year-old girl?,0
"Three-year-old girl possibly sexually abused by adolescent boy. Physician to Department of Human Services worker: ""With him being an adolescent, is this a Department of Human Services case or do I go to the police to report it?""",Should I report this possible abuse to the Department of Human Services?,1
How do you use a 30 cubic centimeter (cc) Foley balloon to induce labor?,How should I treat polymenorrhea in a 14-year-old girl?,0
A question came up yesterday . . . I don't even know how to say it . . . What is the relative risk or the incidence of streptococcal sore throat in tonsillectomized patients?,What is the probability of streptococcal pharyngitis after tonsillectomy?,1
Do nonsteroidal anti-inflammatory drugs (NSAID's) cause hypertension? How commonly?,Do nonsteroidal anti-inflammatory drugs cause hypertension?,1
"58-year-old white female has a family history of ovarian cancer and is requesting a hysterectomy.  She said, ""I'm not using this stuff, why not get rid of it?""  The question is, ""Is hysterectomy an option for her?""  We do prophylactic mastectomies, so why not prophylactic hysterectomies?",Let's give these immunizations.  That's right isn't it?,0
What is the practicality of freezing sperm before you do a vasectomy? We got some information from the University but how long can you freeze sperm and still have it be good?,How should I treat polymenorrhea in a 14-year-old girl?,0
"If you have mild dysplasia on Papanicolaou smear, and the patient is in early pregnancy, is it okay to wait until she delivers to do the colposcopy?",What do you do with a lead level of 10 in an 11 month old?,0
When do you wean a patient from a ventilator?,How should I treat polymenorrhea in a 14-year-old girl?,0
How much codeine is in Tylenol with codeine elixir?,How much codeine is in Tylenol with codeine elixir?,1
How do you inject the bicipital tendon?,How do you inject the neck?,0
Dr. X received consult report from neurologist at tertiary center X regarding patient's possible tendinitis but letter somewhat unclear so he telephoned this physician for an interpretation.  Does she have tendinitis?,How should I treat polymenorrhea in a 14-year-old girl?,0
75-year-old man with diabetes.  What is the maximum dose of glyburide?,What is the maximum dose of glyburide?,1
"Interesting case he discussed with Dr. Y, his associate.  14-year-old girl had physical exam last Thursday and Dr. X noted node on left clavicle area.  On x-ray it looks to him like a large cervical rib.  Dr. Y agreed but they haven't had radiologist report.  They are both awaiting the radiologists report.  ""Is this a cervical rib?""  Dr. Y said she agreed it was a cervical rib but they are waiting the radiologist's report.","14-year-old girl, nodule palpated on left clavicle. On x-ray, is this a cervical rib?",1
What is Humate-P (used to treat von Willebrand disease at delivery)?,Let's give these immunizations.  That's right isn't it?,0
"Should a patient with an acute kidney stone get prophylactic antibiotics to prevent infection, pyelonephritis?",Should a patient with an acute kidney stone get prophylactic antibiotics?,1
"Why is this patient still having discomfort in multiple areas?  History of motor vehicle accident a couple of months ago, has seen orthopedist, and tests have been negative.  I discovered a bone scan has not been done.",Why is this patient still having discomfort in multiple areas following a motor vehicle accident?,1
Dr. X's nurse asked him about the dose of Valtrex when she was noting this visit on chart.  Dr. X had to look up the dose.,Nurse asked doctor about dose of Valtrex when noting visit on chart. He looked it up.,1
What is the dose of Valtrex for cold sores?,What is the dose of Valtrex?,1
"67-year-old female with hypertension. Her question was, what do you do about widened pulse pressure. Should you treat it any differently from just systolic hypertension?",How should I workup this baby with a single umbilical artery?,0
"What is the new (3 hydroxy-3-methylglutaryl-coenzyme A)  HMG Co-A reductase inhibitor (Lipitor, atorvastatin) that's supposed to be so effective and what is the dose?",Is melatonin good for anything?  What is the dose?,0
What are the indications for biphosphonates such as Fosamax in the treatment or prevention of osteoporosis?  Can you give it to someone already on estrogen?,What are the indications for biphosphonates in the treatment or prevention of osteoporosis?,1
"This morning I saw a 7-year-old girl with enuresis.  I asked my partner ""What's hot on enuresis?""",Why did she get Coccidiomycosis?,0
15-year-old boy with vomiting and diarrhea.  He has a gastroenteritis but is it from food poisoning or a virus?,15-year-old boy with vomiting and diarrhea. Is it from food poisoning or a virus?,1
"If you just have serous otitis, I have in my mind that this resolves faster with antibiotics. I couldn't cite an article. I believe that but is it true? Every time I say that to a patient, I say to myself I should go back and check.","If you just have serous otitis, does it resolve faster with antibiotics?",1
What do you do for mild vesicoureteral reflux?  What kind of followup do you do and how often?  Do you repeat it (the voiding cystourethrogram)?,How do you follow up mild vesicoureteral reflux?,1
"Do I gain anything with Bactrim over amoxicillin in terms of coverage? He was on amoxicillin a month ago and now has a second episode of otitis media. Should I be using a second line agent (for example, Augmentin) or does Bactrim have increased coverage over amoxicillin?",Do I gain anything with Bactrim over amoxicillin in terms of coverage for otitis media?,1
31-year-old pregnant woman with a cough. I'm just double checking to see if Augmentin is safe during pregnancy and to see if guaifenesin is safe.,Is it safe to use Paxil during the first trimester of pregnancy?,0
Are there any guidelines on indications for tonsillectomy in adults?,Are there any guidelines on indications for tonsillectomy in adults?,1
30-year-old female exposed to influenza.  Tamiflu versus Amantadine.  Is there any difference in efficacy for prevention?,Is there any difference in efficacy between Tamiflu and amantadine?,1
How soon after exposure would you expect a test for HIV (human immunodeficiency virus) to be positive? What is the window period?,How soon after exposure would you expect a test for human immunodeficiency virus to be positive?,1
I have a girl with facioscapulohumeral muscular dystrophy.  I would like to know what the natural history is and if there's any way to treat it.,What is the natural history of facioscapulohumeral muscular dystrophy?,1
"50-year-old chronic alcoholic man with markedly elevated alkaline phosphatase, 200 then 300 then 400 and now 1100. Why does he have this elevated alkaline phosphatase?",What would cause a very high alkaline phosphatase level (over 1000)?,1
Is the Helicobacter pylori antibody test a reasonable test to diagnose Helicobacter pylori?,Is the Helicobacter pylori antibody test a reasonable test to diagnose Helicobacter pylori?,1
Lyme disease. That always seems to raise its ugly head. Specifically what to tell patients who are concerned about Lyme disease.,How do you counsel patients about Lyme disease?,1
Should I do streptococcal tests or am I wasting money to do them on a 3 1/2-year-old?  There is time when children never get streptococcus and when is the cross over to when they are susceptible to streptococcus?,Should I do streptococcal tests or am I wasting money to do them on a 3 1/2-year-old?,1
I looked up the immunizations for an 18-month-old.,What are the immunizations for an 18-month-old?,1
"Should I put all diabetics on angiotensin converting enzyme (ACE) inhibitors to protect their kidneys, even if they don't have hypertension?",Estimated fetal weight on ultrasound in grams; what is it in pounds so I can tell mother?,0
"46-year-old woman with pituitary.  There should be a book with all you need to know about prescribing steroids.  It should have all types of steroids and a comparison scale with the concept of equivalent doses and the concept of physiologic levels and the concept of stress dosing, and how to bump up and taper down.",Let's give these immunizations.  That's right isn't it?,0
What is the treatment of choice for Giardia lamblia?,Why did she get Coccidiomycosis?,0
Patient was seizing. How to appropriately correct low serum sodium (113) that was causing the seizing? Patient was on a stimulant.,How to appropriately correct low serum sodium that was causing the seizing?,1
"The physician showed me the lipid panel on a 60-year-old woman.  Total cholesterol about 250, triglycerides about 600, high-density-lipoprotein cholesterol 36, low-density-lipoprotein cholesterol 89.  ""Which one to start with:  Lipitor or gemfibrozil?  But my main question is if there is any evidence that omega-3 fatty acids (fish oil) are helpful.""",Are omega-3 fatty acids helpful in hypertriglyceridemia?,1
Mother died at age 55 of colon cancer.  I will send her to the gastroenterologist for a colonoscopy ($1500).  I sometimes wonder whether to do this because it's so expensive versus a flexible sigmoidoscopy and barium enema which is cheaper but not as good.,What are the indications for getting a digoxin level?,0
What were the three antihistamines mentioned in the newspaper that might cause cancer?,What were the three antihistamines mentioned in the newspaper that might cause cancer?,1
Is there a depo form of intramuscular Haldol? Patient is getting 25 milligrams every 3 weeks. Could it cause edema?,Is there a depo form of intramuscular Haldol?,1
Monday I admitted a 7-month-old boy with a reaction to peanuts. I called an allergist and asked him what he's seen in kids this age with a first exposure to peanuts. Do you get peanut exposure in utero was the question.,Can an infant be exposed in utero to peanut allergens?,1
How serious is cubs?,How serious is corona?,0
How do you rule out or diagnose a patient who thinks they may have von Willebrands' disease?,How do you diagnose von Willebrands' disease?,1
How do you manage new onset diabetic ketoacidosis?,How do you manage diabetic ketoacidosis?,1
Should or could tissue plasminogen activator (TPA) have been used to treat this patient immediately after his stroke in the emergency room?,Should tissue plasminogen activator (TPA) have been used in this patient immediately after his stroke in the emergency room?,1
I normally give amoxicillin for tonsillitis. Mother said it didn't work last time. How far should I push it (the amoxicillin that I wanted to use)?,How far should I push it? (The amoxicillin that I want to use.),1
"""Hypothyroid patient seen yesterday. I thought antithyroglobulin was for Graves and thyroid peroxidase was for Hashimoto's."" I (investigator) prompted, ""So the question was whether you were remembering this right?"" And she said yes.",Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?,0
Is there any contraindication to giving the influenza vaccine to someone with a history of Guillain Barre'?,How do you use Redux?  What are the indications?,0
How do you diagnose and treat hepatic encephalopathy?,What antibiotics do you give for diverticulitis? I always have to look it up.,0
"86-year-old with a femur fracture. Does deep-vein-thrombosis prophylaxis depend on the operative management, for example, pin versus prosthesis versus no surgery?",Does deep-vein-thrombosis prophylaxis depend on the operative management?,1
"13-year-old boy complaining of gynecomastia.  Obese, type 2 diabetic.  I don't know what to do about the gynecomastia.  I don't know whether hormonal treatments would be better or surgery.",What do you do for gynecomastia?,1
"If a kid has a nondescript rash, would you ever treat for scabies and see if they get better?",When is it legitimate to treat a nonspecific rash with permethrin cream?,1
Do you need antibiotics after a dog bite? Which antibiotics would you use?,Do you need antibiotics after a dog bite?,1
What is the efficacy of monitoring fetal heart rates?  We always do it.,Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?,0
Does it make any difference if you take the blood pressure again in the same arm after a few seconds of the first reading? Do you get an accurate reading the second time?,Does it make any difference if you take the blood pressure again in the same arm after a few seconds?,1
"35-year-old man, blood in the urine, very smelly urine, frequency and dysuria.  I thought probably prostatitis.  Got a urinalysis yesterday and started Levoquin because it was late in the day.  But today his urinalysis came back negative and he has a dry cough, but his chest x-ray is also negative.  ""What am I gonna do?  Treat that?""",How would you treat bloody urine by history but a normal urinalysis?,1
What are some of the specific points about the technique of colposcopy?,Let's give these immunizations.  That's right isn't it?,0
What is causing the elevated liver function tests?,I wonder if this patient could have a rotator cuff thing?,0
What is cerebral palsy?  How do you diagnose and treat it?  What is the etiology?  What is the pathogenesis?,"What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)",0
What is a good steroid eye drop?,What is a good steroid eye drop?,1
Where is a picture of a plantar wart?,Where is a picture of a plantar wart?,1
Patient called in. He is going to Peru and needs malarial prophylaxis. Is malarial prophylaxis needed for Peru and if so what drug is needed?,Boys' father has Marfan's Syndrome. Do these boys need further evaluation?,0
How does hypokalemia affect the electrocardiogram?,"What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)",0
Seventeen-year-old girl going to Haiti.  The question is whether she should get Hepatitis A immunoglobulin versus Hepatitis A vaccine.  How long is Hepatitis A good for?,How long is Hepatitis A good for?,1
Phone call from patient.  Does Zoloft cause stomach upset?,How should I treat polymenorrhea in a 14-year-old girl?,0
Are there any good reviews of management of rape in the emergency room?,Are there any good reviews on management of rape in the emergency room?,1
"This guy is getting dental work and has a canker sore (aphthous ulcer).  There's a cream for canker sores, Kenalog in Orabase.  ""How often do you use it?""",Let's give these immunizations.  That's right isn't it?,0
What is the prognosis for endometrioid cancer?,What is the prognosis of endometrioid cancer?,1
What is the differential diagnosis of a patient with constant wetting and pyelonephritis?,What is the differential diagnosis of a patient with constant wetting?,1
What should you do if you have periodic late decelerations but normal variability?,How do you use Redux? What are the indications?,0
What are the Ranson criteria for acute pancreatitis?,Let's give these immunizations.  That's right isn't it?,0
How often do you need to check creatine phosphokinase (CPK) and liver enzymes in someone on 3-hydroxy-3-methyl-glutaryl-coenzyme A (HMG CoA) reductase inhibitors?,Patient with transient ischemic attacks; I'm always uncomfortable with how quickly to pursue a workup.,0
How long should you wait before getting an x-ray of a fracture to check for healing (callus) and when do you need to worry about nonunion?,Can you use Prozac along with lithium?,0
What dose of ranitidine should this patient receive?,What dose of ranitidine should this patient receive?,1
Is there anything new in terms of nonsurgical treatment for spinal stenosis?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
"70-year-old woman. A year after stopping Prempro she was still having hot flashes. She (the patient) asked, ""Shouldn't a 70-year-old woman stop having hot flashes?""",How long do hot flashes last after menopause?,1
What does OSCE stand for and what is an OSCE?,What does OSCE stand for and what is an OSCE?,1
76-year-old woman with Parkinson's Disease and hoarseness secondary to that. What do they do for hoarseness secondary to Parkinson's Disease?,Let's give these immunizations. That's right isn't it?,0
Called in order for Antabuse to pharmacist.  Double checked with pharmacist on dosage and frequency.,Double checked with pharmacist on dose and frequency of Antabuse on called prescription.,1
"Is it worth it to get a cholesterol on an 82-year-old man?  (Total cholesterol approximately 220, low-density lipoprotein (LDL-cholesterol) approximately 160.)",Let's give these immunizations.  That's right isn't it?,0
What would cause elevations of immunoglobulin G (IgG) and immunoglobulin A (IgA)?,Patient with transient ischemic attacks; I'm always uncomfortable with how quickly to pursue a workup.,0
Should we release this patient? Is he a danger to himself or others?,Should we release this patient?,1
What would cause the expulsion of air from the vagina other than a rectovaginal fistula in a normal woman?,What would cause the expulsion of air from the vagina other than a rectovaginal fistula in a normal woman?,1
What percentage of doctors fail to check renal function one week after starting an ACE (angiotensin converting enzyme) inhibitor and are now in jail for malpractice?,What proportion of physicians do not check renal function one week after starting an angiotensin-converting-enzyme inhibitor?,1
"In geriatric patients, how long should you treat depression with medication?  Are there other characteristics other than a reoccurrence that would make you put the patient on a maintenance dose or is there a way to avoid the reoccurrence in the first place?",Is there more support we can provide patients with macular degeneration?,0
What do you do with heparin anticoagulation in pregnancy?,What are the indications for getting a digoxin level?,0
49-year-old woman status post removal of in-situ malignant melanoma from her arm. What is the risk of metastases because now she has a new lump?,What is the risk of metastases following removal of an in-situ malignant melanoma?,1
"I get these day care physicals, four to five kids in the house, I asked her if she needs a tuberculin skin test, she said no and it's not on the form. I don't have a good source of information on state rules about who needs tuberculin skin testing.",Is the tuberculin skin test required for day care workers?,1
"Newborn. What are the latest immunization guidelines on hepatitis B virus? Specifically, do we have to give it in the newborn period before leaving the hospital?",What are the indications for getting a digoxin level?,0
What is the normal Q-T interval? (QT interval),How should I treat polymenorrhea in a 14-year-old girl?,0
"Similac Advance and Enfamil Lipil. Docosahexaenoic acid and arachidonic acid. I (investigator) prompted him for the question. He said, ""Is it really needed or is there an added benefit?",Is there any added benefit from the new infant formulas?,1
What is the best treatment for gout in someone with a normal uric acid level and normal 24-hour urine uric acid?,"Obstetric patient, 39 weeks had a little sore, ? herpes.  How long after she heals is it safe to do a vaginal delivery?",0
A 20-year-old woman has a four-month history of diarrhea and cramps after she eats.  She gets shaky before she eats. Could this be due to intestinal hormones or vasoactive intestinal peptide?,Let's give these immunizations.  That's right isn't it?,0
"If you are trying to rule out structural liver disease as a cause of abnormal liver function tests, should you get an ultrasound or a computerized tomographic scan?",What is the dosage of Famvir for treatment of herpes simplex?,0
"6-year-old here for attention-deficit-hyperactivity-disorder evaluation.  The current thinking is that 95% is history and we don't do labs, but it's always nice to get a refresher on that.  You always wonder, ""Am I doing enough?  Am I not doing enough?""  (Meaning medical workup.)",Did pre-cataract physical exam. Which cranial nerve number is the ophthalmic nerve?,0
I had to look up the definition of Borderline Personality Disorder.,How should I treat polymenorrhea in a 14-year-old girl?,0
"57-year-old woman with irregular heart rhythm had been started on flecainide.  I (investigator) saw her looking in a reference.  I said, ""I saw you looking in . . . ""  She said, ""Tambocor.  I didn't know what it was.",What is Tambocor?,1
"Do I need to work this up right now with a full weight loss workup like a chest x-ray and something to look at the pancreas, or can I follow this for now?",Does her bulging fontanelle relate to her congestive heart failure?  Would you do ultrasound or head computerized tomography (CT)?,0
"7-year-old girl from an orphanage in Eastern Europe, received the BCG (Bacillus Calmette-Guerin) vaccine.  Had a 12-millimeter tuberculin skin test.  Has had up to 17-millimeter reaction in the past, didn't know if she had been treated before.  The question was ""What will happen to the tuberculin skin test in a year when she gets tested again?  Will it come down?",How do you use Redux?  What are the indications?,0
"Patient with torn cartilage. Can any of these medications cause her glucose to go up (blood sugar approximately 300 on preoperative laboratory tests)? (Vasotec, Ultram, Prozac, Dicyclomine, Ambien, Tylenol)","Knee injury, slight swelling, most likely a sprain, should we get an x-ray?",0
How do we interpret this cerebrospinal fluid cell count?,How do we interpret this cerebrospinal fluid cell count?,1
"81-year-old female with atrial fibrillation and edema. She looked sick so I got a digoxin level and it was 3.0. She was on digoxin 0.25 milligrams once a day. ""How is the dose to be adjusted?""",How should the dose of digoxin be adjusted if is at a toxic level?,1
"With a 6-month to 12-month old infant, how do you supplement their diet if the mother is a vegetarian and wants her child to also be a vegetarian? How do you give them enough protein?",How should I treat polymenorrhea in a 14-year-old girl?,0
Nicorette gum. What is the dose?,Nicorette gum. What is the dose?,1
What are the different forms of chronic hepatitis B and how do you treat them?  What do the various serologies mean?,Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?,0
"46-year-old woman. ""Look at this Papanicolaou smear. It shows atypical squamous cells of uncertain significance but the comment is 'cannot rule out high-grade squamous intraepithelial lesion.' Normally we just repeat in 4 months for atypical squamous cells of uncertain significance, but what do you do with this comment?",Why did this patient have severe epigastric pain with her last pregnancy?,0
"51-year-old woman with myasthenia gravis.  Has this erythema multiforme like rash.  She went to a dermatologist who said, no, it's more like some kind of drug reaction.  So, ""what skin disease does she really have?""  ""I don't know what to really have her on for this skin problem.""","Patient with sore toe, history of gout, uric acid normal. Hard to diagnose gout with normal uric acid.",0
How can you tell for a single patient if the before and after treatment scores on the American Urologic Association bladder-neck-obstruction questionnaire are significantly different?,"Obstetric patient, 39 weeks had a little sore, ? herpes.  How long after she heals is it safe to do a vaginal delivery?",0
What are the procedures for single ventricle heart in a baby? What kind of heart surgery?,What are the procedures for single ventricle?,1
What dose of cefazolin does this patient need?,What dose of cefazolin does this patient need?,1
"27-year-old woman.  ""For someone on Ritalin for adult attention deficit disorder and depression, who has an elevated blood pressure and pulse, is there any alternative?",Is there any alternative to Ritalin that would not raise the blood pressure?,1
"How do you prescribe Epi-Pen?  Three episodes of itching, then hives, then short of breath.  Two times following eating shrimp.",How should I treat polymenorrhea in a 14-year-old girl?,0
Can cardioversion or an external pacemaker cause a fever?,What are the indications for getting a digoxin level?,0
She has a history of mitral valve prolapse but I can't hear a murmur or a click.  Do you really need to give subacute bacterial endocarditis prophylaxis in this case?  The podiatrist has taken the decision away and said he will give intravenous antibiotics before the procedure.,"History of mitral valve prolapse, but I can't hear a murmur or click. Does she need subacute bacterial endocarditis prophylaxis?",1
How do you sedate a child with Down Syndrome?,How do you sedate a child with Down Syndrome?,1
Is there any contraindication to giving the influenza vaccine to someone with a history of Guillain Barre'?,How do you use Redux? What are the indications?,0
"This female patient was treated with Bactrim for a urinary tract infection but her culture grew Escherichia coli resistant to Bactrim.  She got better on 10 days of Cipro but still has trace hemoglobin, no red blood cells, occasional pressure, so I kept her on the Cipro.  When should I discontinue the Cipro?",When should I discontinue the Cipro (for urinary tract infection)?,1
How should you evaluate gynecomastia in an adolescent boy?,How should you evaluate gynecomastia in an adolescent boy?,1
What is the dose of Cotrim?,What is the dose of Cotrim?,1
"What are these two rashes, one on the face and one on the trunk?",How should I treat polymenorrhea in a 14-year-old girl?,0
I've had two patients with squamous cell carcinomas of the skin recently.  Is there anything else I should do other than a total body skin exam?  And what kind of followup should they have?,How should I treat polymenorrhea in a 14-year-old girl?,0
What is the effect of oxygen therapy on cluster headaches.  Patient requested this therapy based on past history of this treatment relieving his headaches.  Several years ago his doctor in town X prescribed it and it helped.,What is the effect of oxygen therapy on cluster headaches? Patient requested it.,1
Do the same types of human papilloma virus that cause condylomata also cause cervical carcinoma?,Do the same types of human papilloma virus that cause condylomata also cause cervical carcinoma?,1
"We had a kid, 5-year-old, with a fever of 104, headache, dizziness, hallucinations.  We thought it was the flu, but did a lumbar puncture, and the fluid was clear, looked good.  But had some trouble getting the fluid.  The next night he wouldn't walk, wouldn't lay down, crying with pain, would not bear weight.  So I called my partner and said,  ""What do you think?""  ""All right, what is this?""",What are the doses of Solumedrol and Claforan for an 8-year-old female?,0
This is a kid with reactive airway disease. That's a question. At what age are pulmonary function tests reliable for the diagnosis of asthma? How old do you have to be before pulmonary function tests can be done?,At what age are pulmonary function tests reliable?,1
"Are you supposed to give the Hemophilus influenza B (HIB) vaccine at age 15 months or 18 months or just at age 2, 4, and 6 months?",When are you supposed to give the Hemophilus influenza B vaccine?,1
"4-day-old white male, newborn in the hospital, I delivered.  He was just about to go home and the nurses said, by the way, he's been tachypneic for the last hour or two, with respiratory rates of 60 to 70.  The question was, can tachypnea result from laryngomalacia.",Can laryngomalacia cause tachypnea?,1
Why did this patient have epigastric abdominal pain with her last pregnancy that was so severe?  She's spotting now with this pregnancy but the question relates to the last pregnancy.,Why did this patient have severe epigastric pain with her last pregnancy?,1
"A nine-year-old came in this morning to follow up a recent hospitalization for pneumonia. Now he's much better. Chest x-ray is better. White count is 8,000 to 10,000. But about 900,000 platelets. What should I do? Should I repeat it and how soon? Should I worry about it? I said we will repeat it in 1 month. Do I need to do it sooner?",What should be done about a high platelet count?,1
Newborn. Question from resident to study physician. Why are oral hypoglycemics contraindicated in diabetic mothers during pregnancy and why was this mother on glyburide and everyone thought that was OK?,Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?,0
What dose of Adderall does this large 12-year-old need?,How should I treat polymenorrhea in a 14-year-old girl?,0
"What is general information about Guillain-Barre, including diagnosis and management?",What is general information about Guillain-Barre?,1
"There is an old lady (80 years old) coming this afternoon that you won't be here for, but I always have a question with her. She complains of ""excessive phlegm."" I never know what to do with that complaint or how to work it up.","What causes excessive ""phlegm"" in the throat?",1
Why did the cardiologist lower his Lanoxin from .25 to .125?  He was doing well on the .25.  Now he says he goes in and out of atrial fibrillation with a rate of 130 at home.,"Obstetric patient, 39 weeks had a little sore, ? herpes.  How long after she heals is it safe to do a vaginal delivery?",0
What is the bulletin for patients with Crohn's disease and how do you get a patient on the mailing list for this?,What is the bulletin for patients with Crohn's and how to get them on mailing list?,1
Is a high urine pH any indication of a urinary tract infection?,Let's give these immunizations.  That's right isn't it?,0
"""Where do I get growth charts for Downs babies?""",What is the cause and treatment of this old man's stomatitis?,0
An 18-month old in for a well-child check.  We always wait two days after a fever goes away before giving any vaccines.  Is there any scientific data to support this?,Is there evidence to delay immunizations in a febrile child?,1
"""Exposure to Stachybotrys? Diagnosis, treatment, prognosis?""  20-year-old man.",What is the preparation for a gallbladder ultrasound?,0
"A child had taken Claritin 6 months ago, had medicine left over.  Is it OK to take the medication now? Is the dose the same?",How should I treat polymenorrhea in a 14-year-old girl?,0
Is there such a thing as bacterial bronchitis?  Why can't there be?  You can have bacterial infections everywhere else.,Is there such a thing as a bacterial bronchitis?,1
"In geriatric patients, how long should you treat depression with medication?  Are there other characteristics other than a reoccurrence that would make you put the patient on a maintenance dose or is there a way to avoid the reoccurrence in the first place?","In geriatric patients, how long should you treat depression with medication?",1
"Is there any difference among different types of estrogen in terms of adverse effects and benefits, such as vaginal atrophy, mood, and breast tenderness?",Is there any difference among estrogens in terms of adverse effects?,1
67-year-old woman with a normal workup for microscopic hematuria. How often do they need follow up intravenous pyelogram and cystoscopy? I assume we'll get a urinalysis every year. Intravenous pyelogram and cystoscopy were recently normal.,What is the cause and treatment of this old man's stomatitis?,0
Patient is reluctant to take medications so I have been treating with smaller doses than I would with some other patients.  How do I control her hypertension and still get her cooperation?,Patient reluctant to take medication. How to control hypertension and still get her cooperation?,1
"This pharmaceutical representative is trying to promote the 5 in 1 vaccine, Pediarix.  ""What is the position of the American Academy of Pediatrics on that?""",Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
Why should you avoid sunlight if you're on amitriptyline?  That was written on a patient's pill bottle.,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
Are there camps for attention-deficit-hyperactivity-disorder children in this area?,Are there camps for attention-deficit-hyperactivity-disorder children?,1
"Two-year-old girl with paroxysmal supraventricular tachycardia controlled on propranolol, broke through over the weekend.  What should we do with her medications?",What should you do with supraventricular tachycardia while on propranolol?,1
How often should a chest x-ray be done on a TB (tuberculin) reactor?  He hasn't had an x-ray in 4 years.,"Maneuver mentioned at continuing medical education course for vertigo, couldn't remember how to do it or name of it.",0
